Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Storage;Thermal storage;Decentralised electrical heat pumps;TS_DEC_HP_ELEC ;18.97181384;0.132802697;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised thermal heat pumps gas;TS_DEC_THHP_GAS ;18.97181384;0.132802697;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised cogeneration gas;TS_DEC_COGEN_GAS ;18.97181384;0.132802697;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised cogenration oil;TS_DEC_COGEN_OIL ;18.97181384;0.132802697;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas;TS_DEC_ADVCOGEN_GAS ;18.97181384;0.132802697;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised fuel cell cogenration H2;TS_DEC_ADVCOGEN_H2 ;18.97181384;0.132802697;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler gas;TS_DEC_BOILER_GAS ;18.97181384;0.132802697;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler wood;TS_DEC_BOILER_WOOD ;18.97181384;0.132802697;0;25;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler oil;TS_DEC_BOILER_OIL ;18.97181384;0.132802697;0;25;1;0;1;0;0;
Storage;Thermal storage;Centralised daily;TS_DHN_DAILY;3;0.0086;0;40;1;0;1;0;0;
Storage;Thermal storage;Centralised seasonal;TS_DHN_SEASONAL;0.54;0.003;0;25;1;0;1;0;0;
Storage;Thermal storage;Thermal storage industries;TS_HIGH_TEMP;28.03;0.28;0;25;1;0;1;0;0;
Storage;Other storage;Gas storage;GAS_STORAGE ;0.051158;0.001309164;0;30;1;0;1;0;0;
Storage;Other storage;Hydrogen storage;H2_STORAGE ;6.19;0.03;0;20;1;0;1;0;0;
Storage;Other storage;Diesel storage;DIESEL_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Gasoline storage;GASOLINE_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;LFO storage;LFO_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Methanol storage;METHANOL_STORAGE ;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Parabolic trough storage;PT_STORAGE;36.9568;0.3695;0;25;1;0;1;0;0;
Storage;Other storage;Solar tower storage;ST_STORAGE;19.099;0.1909;0;25;1;0;1;0;0;
Storage;Thermal storage;Space cooling storage;TS_COLD;25;0.3;0;20;1;0;1;0;0;
Storage;Other storage;CO2 storage;CO2_STORAGE;49.5;0.495;0;20;1;0;1;0;0;
Electricity;Electricity;Open cycle gas turbine;OCGT ;1176.1;17.64181303;183.79;25;0.40285;0;1;0.04619;0.04629;
Electricity;Electricity;Diesel genset;GENSET_DIESEL;384.6;5.769001632;516.55;25;0;0;1;0.011;0.0111;
Electricity;Electricity;Biomass combustion power plant;ST_BIOMASS;1716.964771;39.82614252;165.33;25;0.153363775;0;1;0.015;0.0151;
Electricity;Electricity;SNG combustion power plant;ST_SNG;982.1038492;14.73155774;1024.32;25;0.340444644;0;1;0;0;
Heat;Cooking;Firewood stove;STOVE_WOOD;0;0;75;10;1;0;1;0.004177289;0.004277289;
Heat;Cooking;LPG stove;STOVE_LPG;0;0;75;10;1;0;1;0.120149759;0.120249759;
Heat;Cooking;NG stove;STOVE_NG;0;0;75;10;1;0;1;0.053623791;0.053723791;
Heat;Cooking;Oil stove;STOVE_OIL;0;0;75;10;1;0;1;0.000620048;0.000720048;
Heat;Cooking;Electric stove;STOVE_ELEC;0;0;75;10;0.1875;0;1;0.002323495;0.002423495;
Mobility;Freight;Aviation fuel;AIR_LFO;0;0;0;15;0.114155251;0;1;0;1.00E+15;
Synthetic fuels;Synthetic fuels;Biomass fermentation to bioethanol;FERMENTATION_TO_BIOETHANOL;2554.01;116.0842435;0;25;0.92;0;1;0;0;
Synthetic fuels;Synthetic fuels;Esterification to biodiesel;ESTERIFICATION_TO_BIODIESEL;2554.01;116.0842435;0;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Diesel engine (industry);IND_ENG_DIESEL;384.6;5.769001632;516.55;25;0.9;0;1;0.031958744;0.032058744;
Heat;Heat high temperature;LPG burner (industry);IND_BURNER_LPG ;70.67;1.415862909;12.32;17;0.9443;0;1;0.001922301;0.002022301;
Mobility;Passenger public;Bus gasoline;BUS_COACH_GASOLINE;930.384;30.55555556;0;15;0.296803653;0;1;0;0;
Storage;Other storage;LPG storage;LPG_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;LNG storage;LNG_STORAGE;2.79609;0.055921703;0;20;1;0;1;0;0;
Mobility;Passenger private;CAR_FG_PRIVATE;CAR_FG_PRIVATE;0;0;0;10;1;0.001471625;0.002471625;0;1E+15;
Mobility;Passenger private;BUS_FG_PRIVATE;BUS_FG_PRIVATE;0;0;0;15;1;0.041815617;0.042815617;0;1E+15;
Mobility;Passenger private;PICKUP_TRUCK_FG_PRIVATE;PICKUP_TRUCK_FG_PRIVATE;0;0;0;10;1;0.000090489;0.001090489;0;1E+15;
Mobility;Passenger private;SUV_FG_PRIVATE;SUV_FG_PRIVATE;0;0;0;10;1;0.000385892;0.001385892;0;1E+15;
Mobility;Passenger private;MOTORCYCLE_FG_PRIVATE;MOTORCYCLE_FG_PRIVATE;0;0;0;10;1;0.000125235;0.001125235;0;1E+15;
Mobility;Passenger public;CAR_FG_PUBLIC;CAR_FG_PUBLIC;0;0;0;10;1;0.000431956;0.001431956;0;1E+15;
Mobility;Passenger public;BUS_FG_PUBLIC;BUS_FG_PUBLIC;0;0;0;15;1;0.041530276;0.042530276;0;1E+15;
Mobility;Passenger public;PICKUP_TRUCK_FG_PUBLIC;PICKUP_TRUCK_FG_PUBLIC;0;0;0;10;1;0.000089501;0.001089501;0;1E+15;
Mobility;Passenger public;SUV_FG_PUBLIC;SUV_FG_PUBLIC;0;0;0;10;1;0.000142182;0.001142182;0;1E+15;
Mobility;Passenger public;MOTORCYCLE_FG_PUBLIC;MOTORCYCLE_FG_PUBLIC;0;0;0;10;1;0.000122029;0.001122029;0;1E+15;
Mobility;Passenger private;CAR_GASOLINE_PRIVATE;CAR_GASOLINE_PRIVATE;0;0;0;10;1;0.02545089;0.02645089;0;1.00E+15;
Mobility;Passenger private;BUS_GASOLINE_PRIVATE;BUS_GASOLINE_PRIVATE;0;0;0;15;1;0.723176459;0.724176459;0;1.00E+15;
Mobility;Passenger private;PICKUP_TRUCK_GASOLINE_PRIVATE;PICKUP_TRUCK_GASOLINE_PRIVATE;0;0;0;10;1;0.001564946;0.002564946;0;1.00E+15;
Mobility;Passenger private;SUV_GASOLINE_PRIVATE;SUV_GASOLINE_PRIVATE;0;0;0;10;1;0.006673767;0.007673767;0;1.00E+15;
Mobility;Passenger private;MOTORCYCLE_GASOLINE_PRIVATE;MOTORCYCLE_GASOLINE_PRIVATE;0;0;0;10;1;0.002165869;0.003165869;0;1.00E+15;
Mobility;Passenger public;CAR_GASOLINE_PUBLIC;CAR_GASOLINE_PUBLIC;0;0;0;10;1;0.007470427;0.008470427;0;1.00E+15;
Mobility;Passenger public;BUS_GASOLINE_PUBLIC;BUS_GASOLINE_PUBLIC;0;0;0;15;1;0.718241649;0.719241649;0;1.00E+15;
Mobility;Passenger public;PICKUP_TRUCK_GASOLINE_PUBLIC;PICKUP_TRUCK_GASOLINE_PUBLIC;0;0;0;10;1;0.001547872;0.002547872;0;1.00E+15;
Mobility;Passenger public;SUV_GASOLINE_PUBLIC;SUV_GASOLINE_PUBLIC;0;0;0;10;1;0.002458952;0.003458952;0;1.00E+15;
Mobility;Passenger public;MOTORCYCLE_GASOLINE_PUBLIC;MOTORCYCLE_GASOLINE_PUBLIC;0;0;0;10;1;0.002110422;0.003110422;0;1.00E+15;
